class,mean_attention,std_attention,attention_entropy,max_attention
Abhaya,0.1,0.052182354,4.4597754,0.24851109
Bhumisparsa,0.099999994,0.044478133,4.5017076,0.20481437
Dharmachakra,0.1,0.044210345,4.501606,0.20631246
Dhyana,0.1,0.05298426,4.464807,0.23369618
Jnana,0.1,0.04772722,4.4812746,0.20196874
Karana,0.10000001,0.065405644,4.396876,0.31281444
Ksepana,0.1,0.04660483,4.4862843,0.21277447
Namaskara,0.10000001,0.05717798,4.4381194,0.2814051
Tarjani,0.1,0.04845721,4.4865413,0.24957424
Unknown/Transition,0.1,0.054832306,4.4401383,0.22078492
Uttarabodhi,0.1,0.063704796,4.4050646,0.29496267
Varada,0.099999994,0.04670092,4.487878,0.22127575
Vitarka,0.099999994,0.05792982,4.4313545,0.3213442
