Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb
0.2559287,0.618641,0.7943733,0.6366256,-0.6136415,-0.1708022,-0.1634015,0.7533729,5.960464E-08,0.09124905,0.1884285,0.05810414,0.1684612,0,0,0,0,0,0,0,0,0,0,0,0
0.2975371,0.6187578,0.7943991,0.6365136,-0.6137139,-0.1708806,-0.1641728,0.7531284,5.960464E-08,0.09124905,0.1884285,0.05806039,0.1684602,0,0,0,0,0,0,0,0,0,0,0,0
0.3221835,0.6187788,0.7943983,0.6364577,-0.6140707,-0.1712341,-0.1644315,0.7527007,5.960464E-08,0.09124905,0.1884285,0.05804569,0.1684598,0,0,0,0,0,0,0,0,0,0,0,0
0.3436144,0.6186303,0.7944138,0.636536,-0.6139008,-0.1714929,-0.163967,0.7528817,5.960464E-08,0.09124905,0.1884285,0.05804009,0.1684598,0,0,0,0,0,0,0,0,0,0,0,0
0.3657134,0.6186402,0.7943548,0.6367089,-0.6138533,-0.1715166,-0.1643538,0.7528306,5.960464E-08,0.09124905,0.1884285,0.05803657,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.38566,0.6186819,0.7943754,0.6367227,-0.6137986,-0.1714316,-0.1642755,0.7529117,5.960464E-08,0.09124905,0.1884285,0.05803417,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.4099017,0.6187146,0.7943605,0.6367349,-0.6137127,-0.1714998,-0.1644152,0.7529356,5.960464E-08,0.09124905,0.1884285,0.05803284,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.430908,0.6186712,0.7944375,0.6364992,-0.6138034,-0.171422,-0.1641231,0.7529432,5.960464E-08,0.09124905,0.1884285,0.05803186,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.4471125,0.6187,0.7944446,0.6364188,-0.6139514,-0.1715051,-0.16424,0.7527782,5.960464E-08,0.09124905,0.1884285,0.05803112,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.4635079,0.6186703,0.7944139,0.6364611,-0.6139601,-0.1716271,-0.16436,0.752717,5.960464E-08,0.09124905,0.1884285,0.05803097,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.4778818,0.6186282,0.7944126,0.6365895,-0.6139001,-0.171596,-0.1641559,0.7528176,5.960464E-08,0.09124905,0.1884285,0.05803068,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.4954979,0.6186734,0.7944108,0.6366145,-0.613831,-0.17161,-0.1643077,0.7528377,5.960464E-08,0.09124905,0.1884285,0.05803059,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.5211119,0.6186895,0.7944874,0.6364568,-0.613752,-0.1715257,-0.1643169,0.7529193,5.960464E-08,0.09124905,0.1884285,0.05803039,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.5352573,0.6186807,0.7944372,0.6366399,-0.613592,-0.1714563,-0.1643159,0.7530656,5.960464E-08,0.09124905,0.1884285,0.05803039,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.5489624,0.6187347,0.7944441,0.6366599,-0.6135722,-0.1714441,-0.1643984,0.7530667,5.960464E-08,0.09124905,0.1884285,0.05803039,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.5625738,0.6187301,0.7944603,0.6366811,-0.6135918,-0.1714253,-0.1644336,0.7530472,5.960464E-08,0.09124905,0.1884285,0.05803029,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0.5771085,0.6187368,0.7944214,0.6367447,-0.6136411,-0.1713956,-0.1644964,0.7530001,5.960464E-08,0.09124905,0.1884285,0.05803029,0.1684596,0,0,0,0,0,0,0,0,0,0,0,0
0,0.6189103,0.7942824,0.6372362,-0.6127774,-0.1705531,-0.1650922,0.7537639,5.960464E-08,0.1135356,0.1884285,0.05803024,0.1852572,0,0,0,0,0,0,0,0,0,0,0,0
0.0472725,0.6189705,0.7942307,0.6372725,-0.6123125,-0.1700119,-0.1654037,0.7541956,5.960464E-08,0.1136571,0.1884285,0.05803024,0.1752962,0,0,0,0,0,0,0,0,0,0,0,0
