Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
18.00384,0.3433338,0.4199241,-0.1531386,0.02716908,0.01991767,0.2616539,0.9645737,5.960464e-08,0.0,0.0,0.0,0.03544995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.01469,0.3386934,0.4207179,-0.1505578,0.02997814,-0.01956403,0.2878484,0.9570068,5.960464e-08,0.0,0.0,0.0,0.03340289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.02775,0.3389262,0.4212941,-0.1503573,0.03386456,-0.02428892,0.2871815,0.9569692,5.960464e-08,0.0,0.0,0.0,0.0317628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.06469,0.3415692,0.4225739,-0.1480563,0.04169179,-0.02859704,0.2835564,0.957622,5.960464e-08,0.0,0.0,0.0,0.02788242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.0735,0.3423803,0.4228101,-0.1484267,0.04208577,-0.02729575,0.282842,0.957854,5.960464e-08,0.0,0.0,0.0,0.02234846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.08474,0.3443095,0.423694,-0.1480483,0.0435856,-0.02375358,0.2819058,0.9581572,5.960464e-08,0.0,0.0,0.0,0.01790613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.09883,0.3457837,0.4241577,-0.1459778,0.0451089,-0.01698226,0.2829711,0.9579166,5.960464e-08,0.0,0.0,0.0,0.01434258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.11208,0.3463524,0.4239632,-0.1455892,0.04610009,-0.0116031,0.2847283,0.9574288,5.960464e-08,0.0,0.0,0.0,0.01148523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.13488,0.3459096,0.4238661,-0.1453959,0.04714554,-0.006970846,0.2877027,0.9565333,5.960464e-08,0.0,0.0,0.0,0.007361365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
18.14321,0.3465135,0.4240123,-0.1452714,0.04730158,-0.006000101,0.2879355,0.9564621,5.960464e-08,0.0,0.0,0.0,0.00589165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
