Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
19.07658,0.1598461,0.8866271,0.2972779,-0.6671056,0.09150723,0.109362,0.7311885,5.960464e-08,0.0,0.0,0.0,0.0008265817,-0.0698845,0.8683872,0.3493912,-0.6713533,0.04156095,-0.08543649,0.7350224,0.0,0.0,0.0,0.0,0.07840755,Bhumisparsa
19.13316,0.1565386,0.8840848,0.3018758,-0.6677859,0.1066385,0.0716778,0.7331797,5.960464e-08,0.0,0.0,0.0,0.0002965491,-0.07225617,0.8710565,0.3414942,-0.6733164,0.04638768,-0.05054478,0.7361647,0.0,0.0,0.0,0.0,0.1077533,Bhumisparsa
19.27446,0.1549175,0.8868695,0.302928,-0.6714991,0.1056644,0.06715226,0.7303524,5.960464e-08,0.0,0.0,0.0,0.00916115,-0.07408639,0.8750602,0.3373122,-0.6690106,0.03234242,-0.04413614,0.741236,0.0,0.0,0.0,0.0,0.1170609,Bhumisparsa
19.34311,0.1482772,0.8902431,0.3015583,-0.6806234,0.1029191,0.08290237,0.7206155,5.960464e-08,0.0,0.0,0.0,0.02347236,-0.07071266,0.8780081,0.3303006,-0.6737786,0.03256979,-0.0440069,0.7369023,0.0,0.0,0.0,0.0,0.1203044,Bhumisparsa
19.40933,0.1476403,0.8907432,0.3008137,-0.6853163,0.09954853,0.09867232,0.7146296,5.960464e-08,0.0,0.0,0.0,0.0261435,-0.069267,0.8773877,0.3310129,-0.6823451,0.04648738,-0.04686588,0.7280437,0.0,0.0,0.0,0.0,0.1045973,Bhumisparsa
19.54162,0.1481267,0.8912675,0.2989264,-0.6848027,0.1033419,0.1129278,0.7124696,5.960464e-08,0.0,0.0,0.0,0.0252665,-0.07028776,0.8768596,0.3339454,-0.6789652,0.04148384,-0.04594512,0.7315561,0.0,0.0,0.0,0.0,0.1018939,Bhumisparsa
19.60477,0.147196,0.8903908,0.2990535,-0.6835431,0.1031538,0.1266921,0.7113911,5.960464e-08,0.0,0.0,0.0,0.02519801,-0.06944045,0.8754736,0.3334285,-0.6825828,0.04327645,-0.05586943,0.7273834,0.0,0.0,0.0,0.0,0.0976467,Bhumisparsa
19.63225,0.1464372,0.8903242,0.2974425,-0.6825861,0.09740988,0.143587,0.7099087,5.960464e-08,0.0,0.0,0.0,0.03372793,-0.06920888,0.8748536,0.3346086,-0.6864097,0.04909837,-0.06564706,0.7225798,0.0,0.0,0.0,0.0,0.09733809,Bhumisparsa
19.65143,0.144234,0.8894336,0.2968563,-0.6823584,0.0925972,0.1513554,0.7091574,5.960464e-08,0.0,0.0,0.0,0.02956475,-0.06700925,0.8733481,0.3341333,-0.6901296,0.05318017,-0.0756276,0.7177559,0.0,0.0,0.0,0.0,0.09465935,Bhumisparsa
19.67398,0.1403171,0.8882331,0.2972602,-0.6833699,0.08609294,0.1719376,0.7042947,5.960464e-08,0.0,0.0,0.0,0.02798934,-0.063932,0.8718994,0.3325213,-0.6980213,0.06017852,-0.09194596,0.707595,0.0,0.0,0.0,0.0,0.09107908,Bhumisparsa
19.70109,0.1366983,0.8860978,0.2977723,-0.6854142,0.0750682,0.1997068,0.6961963,5.960464e-08,0.0,0.0,0.0,0.02698007,-0.06073338,0.8696911,0.3317817,-0.7071915,0.0737424,-0.1116143,0.6942511,0.0,0.0,0.0,0.0,0.08878314,Bhumisparsa
19.73001,0.131236,0.8824742,0.2982351,-0.6877342,0.05708816,0.2384591,0.6833007,5.960464e-08,0.0,0.0,0.0,0.02610393,-0.05544342,0.8646918,0.3314455,-0.7184371,0.09307615,-0.1451304,0.6738859,0.0,0.0,0.0,0.0,0.08678834,Bhumisparsa
19.75757,0.1257517,0.8752357,0.3000177,-0.6891731,0.02680496,0.2940869,0.661691,5.960464e-08,0.0,0.0,0.0,0.01664167,-0.05036318,0.8587082,0.3313447,-0.7316606,0.1175307,-0.1938895,0.6428578,0.0,0.0,0.0,0.0,0.08106834,Bhumisparsa
19.78676,0.1217324,0.869494,0.2996566,-0.6862807,-0.006546359,0.3511718,0.63691,5.960464e-08,0.0,0.0,0.0,0.01067286,-0.04660328,0.8541768,0.3282993,-0.7441207,0.1421369,-0.244724,0.6051378,0.0,0.0,0.0,0.0,0.06672551,Bhumisparsa
19.81565,0.1210135,0.8640924,0.2985066,-0.6812995,-0.04347964,0.4043049,0.6086692,5.960464e-08,0.0,0.0,0.0,0.005473779,-0.04412567,0.8489514,0.3263094,-0.7555153,0.1689484,-0.2922599,0.5614601,0.0,0.0,0.0,0.0,0.03733161,Bhumisparsa
20.14898,0.1178603,0.8547457,0.3102677,-0.61266,-0.2351255,0.6564423,0.372085,5.960464e-08,0.0,0.0,0.0,0.0,-0.04134275,0.827768,0.3286525,-0.7548496,0.2957757,-0.5129294,0.2821743,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.48232,0.1220539,0.8485656,0.3080401,-0.5990649,-0.3185303,0.6732448,0.2939406,5.960464e-08,0.0,0.0,0.0,0.0,-0.04995216,0.82817,0.3280707,-0.7481096,0.3389752,-0.5433917,0.1736472,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
